name,description,total cost,quantity,link,distributor
screen,screen for the ai system,68.19,1,enlace de compra,aliexpress
2kg petg,filament for the eyes mechanisms,28.40,2,enlace de compra,digitalz3d
raspberry pi 5 8gb,computer for the ai,240.56,1,enlace de compra,aliexpress
microphone,to talk with the robot,49.35,1,enlace de compra,aliexpress
speakers,for the voice,16.71,1,enlace de compra,aliexpress
